CMDLINE /home/advice/miniconda3/envs/torch_exp_dataset/bin/python /home/docker/side/torchcsvdataset/test/vaex_test.py
MEM 288.875000 1626410848.1003
MEM 288.875000 1626410848.2152
MEM 288.875000 1626410848.3298
MEM 288.875000 1626410848.4441
MEM 288.875000 1626410848.5584
MEM 288.875000 1626410848.6737
MEM 288.875000 1626410848.7872
MEM 288.875000 1626410848.9007
MEM 288.875000 1626410849.0127
MEM 288.875000 1626410849.1243
MEM 288.875000 1626410849.2358
MEM 288.875000 1626410849.3478
MEM 288.875000 1626410849.4616
MEM 288.875000 1626410849.5753
MEM 288.875000 1626410849.6888
MEM 288.875000 1626410849.8018
MEM 288.875000 1626410849.9141
MEM 288.875000 1626410850.0255
MEM 288.875000 1626410850.1393
MEM 288.875000 1626410850.2493
MEM 288.875000 1626410850.3631
MEM 288.875000 1626410850.4773
MEM 288.875000 1626410850.5894
MEM 288.875000 1626410850.7031
MEM 288.875000 1626410850.8163
MEM 288.875000 1626410850.9304
MEM 288.875000 1626410851.0441
MEM 288.875000 1626410851.1562
MEM 288.875000 1626410851.2702
MEM 288.875000 1626410851.3833
MEM 288.875000 1626410851.4968
MEM 288.875000 1626410851.6066
MEM 288.875000 1626410851.7202
MEM 288.875000 1626410851.8338
MEM 288.875000 1626410851.9465
MEM 288.875000 1626410852.0564
MEM 288.875000 1626410852.1662
MEM 288.875000 1626410852.2786
MEM 288.875000 1626410852.3920
MEM 288.875000 1626410852.5039
MEM 288.875000 1626410852.6150
MEM 288.875000 1626410852.7295
MEM 288.875000 1626410852.8432
MEM 288.875000 1626410852.9568
MEM 288.875000 1626410853.0706
MEM 288.875000 1626410853.1837
MEM 288.875000 1626410853.2965
MEM 288.875000 1626410853.4103
MEM 288.875000 1626410853.5288
MEM 288.875000 1626410853.6407
MEM 288.875000 1626410853.7546
MEM 288.875000 1626410853.8674
MEM 288.875000 1626410853.9789
MEM 288.875000 1626410854.0925
MEM 288.875000 1626410854.2045
MEM 288.875000 1626410854.3167
MEM 288.875000 1626410854.4302
MEM 288.875000 1626410854.5431
MEM 288.875000 1626410854.6557
MEM 288.875000 1626410854.7685
MEM 288.875000 1626410854.8819
MEM 288.875000 1626410854.9916
MEM 288.875000 1626410855.1069
MEM 288.875000 1626410855.2205
MEM 288.875000 1626410855.3330
MEM 288.875000 1626410855.4465
MEM 288.949219 1626410855.5582
MEM 288.949219 1626410855.6705
MEM 288.949219 1626410855.7818
MEM 288.949219 1626410855.8948
MEM 288.949219 1626410856.0076
MEM 288.949219 1626410856.1208
MEM 288.949219 1626410856.2338
MEM 288.949219 1626410856.3481
MEM 288.949219 1626410856.4612
MEM 288.949219 1626410856.5749
MEM 288.949219 1626410856.6877
MEM 288.949219 1626410856.8007
MEM 288.949219 1626410856.9139
MEM 288.949219 1626410857.0264
MEM 288.949219 1626410857.1401
